patent_id,patent_date,patent_year,citation_sequence,citation_patent_id,citation_date,citation_year,pagerank,cites,refs_n,name,dummy
4958179,9/18/90,1990,0,4597657,7/1/86,1986,2.53,2,4,a,1
4958179,9/18/90,1990,0,4597657,7/1/86,1986,2.53,2,4,a,1
4958179,9/18/90,1990,1,4669848,6/2/87,1987,2.53,2,4,a,1
4958179,9/18/90,1990,2,4789875,12/6/88,1988,2.53,2,4,a,1
5608478,3/4/97,1997,3,4958179,9/18/90,1990,3.03,23,4,b1,1
5765068,6/9/98,1998,4,4958179,9/18/90,1990,1.03,10,5,b2,1
5805947,9/8/98,1998,4,5608478,3/4/97,1997,1.54,27,5,c1,1
5819127,10/6/98,1998,2,5608478,3/4/97,1997,0.92,9,4,c2,1
5819127,10/6/98,1998,2,5608478,3/4/97,1997,0.92,9,4,c2,1
5822639,10/13/98,1998,70,5608478,3/4/97,1997,0.61,1,75,c3,1
5822640,10/13/98,1998,64,5608478,3/4/97,1997,0.66,3,68,c4,1
5860033,1/12/99,1999,64,5608478,3/4/97,1997,0.74,8,69,c5,1
5867742,2/2/99,1999,64,5608478,3/4/97,1997,0.84,8,69,c6,1
5892996,4/6/99,1999,4,5608478,3/4/97,1997,1.03,9,6,,0
5895136,4/20/99,1999,64,5608478,3/4/97,1997,0.95,3,73,,0
5913089,6/15/99,1999,6,5608478,3/4/97,1997,2.44,36,8,,0
5913089,6/15/99,1999,6,5608478,3/4/97,1997,2.44,36,8,,0
5926660,7/20/99,1999,70,5608478,3/4/97,1997,0.56,3,81,,0
5940639,8/17/99,1999,74,5608478,3/4/97,1997,0.5,1,77,,0
6009276,12/28/99,1999,11,5608478,3/4/97,1997,0.56,2,14,,0
6151455,11/21/00,2000,2,5608478,3/4/97,1997,1.81,14,8,c8,1
6151455,11/21/00,2000,2,5608478,3/4/97,1997,1.81,14,8,c8,1
6151455,11/21/00,2000,3,5765068,6/9/98,1998,1.81,14,8,c8,1
6176626,1/23/01,2001,10,5608478,3/4/97,1997,0.5,1,31,c9,1
6176626,1/23/01,2001,21,5765068,6/9/98,1998,0.5,1,31,c9,1
6181380,1/30/01,2001,3,5608478,3/4/97,1997,1.68,17,5,,0
6257776,7/10/01,2001,1,5608478,3/4/97,1997,0.86,4,7,,0
6398426,6/4/02,2002,5,5765068,6/9/98,1998,0.81,7,7,d13,1
6574431,6/3/03,2003,3,5608478,3/4/97,1997,0.61,2,5,,0
6618562,9/9/03,2003,1,5608478,3/4/97,1997,0.5,,6,,0
7502550,3/10/09,2009,0,5608478,3/4/97,1997,0.87,40,2,,0
8033743,10/11/11,2011,0,5608478,3/4/97,1997,0.5,1,7,,0
8256906,9/4/12,2012,2,5765068,6/9/98,1998,0.88,2,10,,0
D452519,12/25/01,2001,6,5765068,6/9/98,1998,0.58,3,8,c10,1
D452519,12/25/01,2001,6,5765068,6/9/98,1998,0.58,3,8,c10,1
D453781,2/19/02,2002,3,5765068,6/9/98,1998,0.54,2,9,,0
D460775,7/23/02,2002,3,5765068,6/9/98,1998,0.53,1,8,,0
D463811,10/1/02,2002,2,5765068,6/9/98,1998,0.5,,7,,0
D473576,4/22/03,2003,2,5765068,6/9/98,1998,0.7,10,6,,0
10005611,6/26/18,2018,190,7502550,3/10/09,2009,0.52,1,291,,0
10090877,10/2/18,2018,183,7502550,3/10/09,2009,0.51,2,283,,0
10159320,12/25/18,2018,206,7502550,3/10/09,2009,0.5,,333,,0
10178902,1/15/19,2019,206,7502550,3/10/09,2009,0.5,,326,,0
10196700,2/5/19,2019,28,5805947,9/8/98,1998,0.5,,176,,0
10294016,5/21/19,2019,202,7502550,3/10/09,2009,0.52,1,309,,0
10299554,5/28/19,2019,262,7502550,3/10/09,2009,0.5,,391,,0
10370705,8/6/19,2019,28,5805947,9/8/98,1998,0.5,,173,,0
10396843,8/27/19,2019,206,7502550,3/10/09,2009,0.53,3,333,,0
10481633,11/19/19,2019,4,5819127,10/6/98,1998,0.75,2,8,,0
10481633,11/19/19,2019,5,5892996,4/6/99,1999,0.75,2,8,,0
10514642,12/24/19,2019,0,6151455,11/21/00,2000,0.5,,1,,0
